annonce_id,date_publication,titre,ville,quartier,type_bien,transaction,prix,surface,nb_chambres,nb_salles_bain,etage,annee_construction
ANO000343,2023-05-05,Terrain moderne Meknès,Meknès,Hamria,Terrain,Vente,811401.04,314.4,0.0,,0.0,2014.0
ANO001296,2023-08-20,Terrain moderne Kenitra,Kenitra,Centre,Terrain,Location,3843.55,36.46,0.0,0.0,,2008.0
ANO001212,2023-06-20,Appartement moderne Oujda,Oujda,Hay Qods,Appartement,Location,9190.7,95.54,2.0,2.0,,2012.0
ANO001000,2024-01-21,Appartement à vente - Tanger,Tanger,,Appartement,Vente,30000.0,93.35,1.0,1.0,3.0,2008.0
ANO001123,2024-03-19,Beau Villa Rabat,Rabat,Souissi,Villa,Location,20844.72,264.22,3.0,1.0,0.0,2006.0
ANO000927,2024-03-19,Appartement 96m² Talborjt,Agadir,Talborjt,Appartement,Vente,542588.3,96.99,3.0,1.0,4.0,2016.0
ANO000511,2023-06-12,Bureau à vente - Tanger,TANGER,,Bureau,Vente,1256354.5,49.26,0.0,0.0,,2012.0
ANO000608,2023-08-17,Appartement moderne Rabat,Rabat,Agdal,Appartement,Vente,2030740.75,79.38,1.0,1.0,1.0,
ANO000153,2024-10-16,Appartement moderne Fès,Fès,Zouagha,Appartement,Vente,537156.36,59.12,1.0,1.0,8.0,1991.0
ANO000720,2024-09-12,Beau Appartement Agadir,Agadir,Talborjt,Appartement,Vente,511874.19,117.04,2.0,2.0,1.0,2014.0
ANO000965,2023-12-08,Villa moderne Fès,Fès,Medina,Villa,Location,180.0,267.23,5.0,2.0,0.0,2007.0
ANO000532,2023-02-04,Beau Appartement Meknès,MEKNÈS,Hamria,Appartement,Location,9446.3,25.93,,2.0,0.0,2001.0
ANO000544,2024-02-12,Beau Appartement Oujda,oujda,Hay Qods,Appartement,Vente,652332.84,97.12,3.0,2.0,,2003.0
ANO000172,2023-07-15,Beau Appartement Casablanca,Casablanca,Californie,Appartement,Location,1764.37,70.58,2.0,1.0,,2011.0
ANO001227,2024-07-04,Villa moderne Tétouan,tétouan,,Villa,Location,11183.41,243.3,5.0,2.0,0.0,2001.0
ANO000102,2023-08-24,Appartement à location - Tanger,Tanger,Centre Ville,Appartement,Location,8976.59,84.48,2.0,,1.0,2010.0
ANO000947,2023-05-29,Appartement à vente - Marrakech,MARRAKECH,Gueliz,Appartement,Vente,816253.63,81.02,3.0,2.0,7.0,2012.0
ANO000946,2024-05-29,Appartement à location - Oujda,Oujda,,Appartement,Location,2056.08,132.6,3.0,2.0,,2023.0
ANO000155,2024-09-20,Bureau 128m² Hay Qods,Oujda,Hay Qods,Bureau,Vente,920109.8,128.56,0.0,0.0,3.0,
ANO001240,2024-11-24,Beau Duplex Fès,Fès,Zouagha,Duplex,Vente,3184749.75,140.93,3.0,1.0,3.0,1998.0
ANO000755,2024-11-11,Beau Appartement Casablanca,Casablanca,Maarif,Appartement,Vente,2494312.88,58.22,,1.0,2.0,2010.0
ANO000371,2023-07-28,Terrain à vente - Marrakech,Marrakech,Hivernage,Terrain,Vente,742795.28,326.09,0.0,0.0,,2016.0
ANO000518,2023-02-23,Appartement moderne Meknès,Meknès,,Appartement,Location,2102.24,63.05,,2.0,0.0,2003.0
ANO001464,2023-01-28,Beau Terrain Rabat,Rabat,Hay Riad,Terrain,Vente,975589.83,361.79,0.0,0.0,0.0,2012.0
ANO001497,2023-09-10,Beau Bureau Meknès,Meknès,Ville Nouvelle,Bureau,Location,6209.83,120.05,0.0,0.0,1.0,2013.0
ANO000276,2023-10-24,Beau Villa Marrakech,Marrakech,Medina,Villa,Vente,2926692.24,376.37,3.0,1.0,0.0,2005.0
ANO000058,2024-07-23,Terrain à location - Fès,fès,Medina,Terrain,Location,2221.03,290.75,,0.0,0.0,2005.0
